,Stock,Coefficient
75,AMC,-5.980378384066634
76,AMCX,1.9692931698410967
77,AMD,3.316957694149167
78,AME,0.7641794741341887
79,AMGN,2.8836905117746965
80,AMJ,-2.470452507257875
81,AMOT,-3.6088130706028556
82,AMP,-4.973063934764058
83,AMRN,6.196045843048995
84,AMT,9.421891079109237
85,AMTD,-4.083344262142525
86,AMZN,0.9619404642991679
87,ANAB,-6.226302432166139
88,ANDE,-0.20634903711156444
89,ANET,-1.577773662482837
90,ANF,-6.6864136058722865
91,ANGI,3.8486729056886273
92,ANSS,0.03462947966017568
93,ANTM,9.821345051465727
94,ANZ,
95,AOBC,1.7991675938171106
96,AOS,-8.861963091144064
97,APA,-9.60814885102375
98,APC,-14.277681439620954
99,APD,2.1504477874832477
100,APH,0.6402800959671487
101,APO,-4.571034484729137
102,APOP,-1.9043330217074668
103,APPF,8.81991430191159
104,APRN,-0.5938442790767642
105,APTO,-0.5411227355328151
106,APTV,-8.20323456775983
107,AR,-19.762083210908553
108,ARCH,1.1371976454905437
109,ARD,-11.089617327525957
110,ARDX,-0.781603993575612
111,ARGX,12.830591002602317
112,ARMK,-7.617759962276751
113,ARNA,3.400779063783551
114,ARNC,-1.536019255564094
115,ARRY,10.97323999322127
116,ARTW,-0.2634967515868797
117,ARW,-0.23556387900610373
118,ASB,-8.56977110339245
119,ASMB,-19.49199291758365
120,ASML,-5.604550534561507
121,ATH,-3.624206887887398
122,ATHM,-8.492696108896132
123,ATI,-1.5030730886705606
124,ATUS,3.00419504653864
125,ATVI,-14.944087601816811
126,AUPH,0.34931244306796677
127,AUY,-0.16530146457328362
128,AVAV,13.029428886126661
129,AVEO,-0.5120920943828672
130,AVGO,5.46347472352618
131,AVLR,2.5348300945053492
132,AVP,0.16222152392021869
133,AVY,-1.4418768745277537
134,AWK,6.828882223310579
135,AXL,-6.002938609658587
136,AXP,2.884566980069411
137,AXTA,-7.579060254561458
138,AYI,-0.8323936377491633
139,AZN,3.8647400622786248
140,AZO,15.438878514834139
141,AZPN,0.6550662114474305
142,BA,3.7636551575101156
143,BABA,-4.649186686360287
144,BAC,-3.092625853185472
145,BAH,9.743007565621495
146,BAM,3.298754962451742
147,BATRA,5.1645100070595875
148,BAX,0.43424139069677226
149,BAYRY,-13.78550505074767
150,BB,-9.131918599741653
151,BBBY,-8.014396255228784
152,BBD,0.8432432700898469
153,BBT,-3.7434969478266216
154,BBVA,-0.6494627621579896
155,BBY,-6.91161889815849
156,BC,-9.026586416650362
157,BCE,0.6594264506082883
158,BCEI,-14.339154573458368
159,BCLI,-0.0651498450572302
160,BCO,-2.1538213431067734
161,BCRX,1.11202467617902
162,BCS,-9.566907203773006
163,BDC,-6.077659842747109
164,BDX,1.4046975704525049
165,BECN,-8.453815771360842
166,BEN,-1.8837900652997106
167,BFAM,6.90779038447261
168,BG,-9.121257243470207
169,BGFV,-1.6416425995423047
170,BGNE,-10.544351787763587
171,BGS,-0.897907145896325
172,BHC,0.23113805982617058
173,BHF,-8.115366222901306
174,BHGE,-12.490960430856875
175,BHP,1.6728577479189073
176,BID,-11.865574042096041
177,BIDU,-13.522776369292117
178,BIG,-8.519939864165263
179,BIIB,3.0301014714720615
180,BIO,-1.2904025209976646
181,BJRI,-3.194171910699184
182,BK,-3.2175362421423133
183,BKE,-10.317968249243297
184,BKNG,-5.759877122808916
185,BKS,0.2321961808246768
186,BL,1.9897660384050782
187,BLCM,-1.6024824570908767
188,BLDR,-12.696545646624678
189,BLK,-7.9265255307235805
190,BLMN,-3.724480637804501
191,BLPH,-0.5676873275986504
192,BLUE,-10.429584189812806
193,BMO,-2.0895001364230645
194,BMRN,1.1765769221117177
195,BMY,-3.0529291041133155
196,BOCH,-2.501004880533808
197,BOLD,-11.485265206968965
198,BOOT,7.509824649748384
199,BOX,-9.210455537832797
200,BP,-2.717234724325543
201,BR,-4.8910859460400555
202,BREW,-8.133309798612787
203,BRK-A,1.1155965548162383
204,BRKR,6.366233015628851
205,BSMX,-0.22708691355038804
206,BSX,10.369884661386045
207,BT,-0.30788153650133104
208,BTI,-11.520637218618296
209,BTU,-10.778071930694429
210,BUD,-8.770958452594408
211,BUI,0.8595117671344491
212,BURG,-0.5423636124364087
213,BURL,4.718321333675972
214,BVN,2.80132747678783
215,BVXV,-0.45342315804193645
216,BWA,-8.639167433361228
217,BWXT,-12.206985079916086
218,BX,0.9902925351431148
219,BXC,-14.409512815352837
220,BXS,-5.008215036875482
221,BYD,-11.137499198745278
222,BZH,-9.528186685171896
223,C,-4.634377948869744
224,CAE,1.5329157809708318
225,CAG,-13.159052339142274
226,CAH,-3.3744136014635315
227,CAJ,-6.117130337754545
228,CAKE,-5.745749688404927
229,CALA,-0.09445534309018899
230,CAMT,0.1493908385998643
231,CAR,-9.871064875730774
232,CARA,5.544990135983588
233,CARB,-11.77524113081374
234,CARS,-5.628289649876026
235,CASA,-13.844871570226742
